Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
80	1.8428481	1.3086184	5.3387456	0.36619613	1.4654338	0.5846495	2.7003758	0.86862314	200.0	200.0	400000	125.421715	12.919705	161.93066	55.398926	-126.2982	1.2810029	3243.9142713546753
81	6.6949334	7.8352537	40.818237	0.5305538	100.21486	6.7954125	110.80226	91.58131	200.0	200.0	405000	118.8205	12.88887	151.49257	54.641838	-119.66235	1.2337112	3286.456113576889
82	40.833805	40.376938	121.22253	0.19305241	3.7074993	0.5563547	4.75161	2.9087045	200.0	200.0	410000	111.43488	11.699295	148.1675	46.68639	-112.1558	1.0829362	3328.071893453598
83	3.1443336	4.5050445	16.034134	0.18435839	2.2227232	0.9661166	4.1895385	1.1151696	200.0	200.0	415000	104.75772	10.269612	147.48946	41.575813	-105.546165	1.1138746	3367.016523361206
84	0.633404	0.7271986	2.5864074	0.10493381	0.9232251	0.14636837	1.1776863	0.6074945	200.0	200.0	420000	105.64839	10.395817	146.45996	47.201336	-106.70015	1.2370312	3407.4160418510437
85	0.93447495	0.7621375	2.6583657	0.17651206	0.51666045	0.059011333	0.600496	0.391006	200.0	200.0	425000	107.891594	12.677004	145.70703	38.734943	-108.88886	1.3639276	3447.5499501228333
86	7.6193404	8.592756	30.325651	0.26933137	15.708548	6.4452515	25.842012	8.112828	200.0	200.0	430000	101.829735	11.056997	146.59268	34.55008	-102.47637	0.98343396	3487.536199569702
87	5.628782	15.372442	80.27249	0.37698922	50.58963	39.687984	102.37573	6.295775	200.0	200.0	435000	94.36604	10.410382	151.5106	42.49942	-94.951225	0.82478416	3528.672747373581
88	26.577665	29.842903	114.413315	0.69355094	19.005941	7.3261223	33.67344	8.68957	200.0	200.0	440000	88.19602	9.617007	152.28123	37.571148	-88.76653	0.7242536	3572.545785665512
89	36.003544	34.827538	125.63742	1.7181534	52.76522	44.321598	129.18929	5.998531	200.0	200.0	445000	82.57568	9.332804	136.91206	33.06805	-83.12426	0.6384014	3616.3753669261932
90	59.55788	37.052155	120.49295	3.572623	56.16796	42.96918	109.304924	6.656972	200.0	200.0	450000	78.56621	8.947063	158.75975	26.594086	-79.13595	0.60956043	3659.390105485916
91	55.57477	31.061907	98.77875	5.737614	78.591606	35.701275	117.617325	18.867138	200.0	200.0	455000	75.344345	8.583475	156.72281	26.149038	-75.88926	0.5946834	3704.006937980652
92	48.181446	39.696423	151.89026	0.23086013	37.76215	33.48116	116.95085	6.7972536	200.0	200.0	460000	73.196785	8.748611	147.32108	21.048058	-73.78679	0.64863485	3749.12908744812
93	54.04226	35.996635	127.61047	0.40340263	8.279827	4.750685	21.783415	4.4994245	200.0	200.0	465000	72.51874	9.423411	162.78621	23.559576	-73.17871	0.7830629	3794.2939665317535
94	2.7222562	3.4166837	15.242045	0.29162213	0.43970075	0.04294724	0.53241074	0.37818378	200.0	200.0	470000	90.320854	20.480553	174.7833	34.065517	-92.45691	1.7073531	3835.0705955028534
95	2.2672017	2.2393656	9.913947	0.23551548	2.5851083	0.516679	3.8670187	2.0973504	200.0	200.0	475000	111.845795	19.216412	178.47096	35.415855	-113.38085	1.6458457	3877.2750976085663
96	6.7966475	9.197931	39.161118	0.5700798	15.867964	10.977159	40.8229	3.76067	200.0	200.0	480000	116.49948	14.580608	172.4191	44.195168	-117.5636	1.2386826	3916.9419078826904
97	6.73611	9.121059	33.450882	0.4211859	3.9660244	1.8441466	7.7488203	1.9290807	200.0	200.0	485000	110.56035	10.372895	154.85394	40.292393	-111.21427	0.8465836	3955.944545507431
98	25.072264	24.462574	108.78929	1.2118332	19.369175	13.714661	41.31015	2.6569922	200.0	200.0	490000	101.30158	8.617045	155.5792	40.515827	-101.88379	0.7426379	3997.974906682968
99	55.46022	38.207897	130.442	0.3443268	105.074974	11.046861	121.001686	88.90858	200.0	200.0	495000	93.88325	8.713843	144.93823	36.942795	-94.507416	0.7985077	4038.1683695316315
100	44.03582	42.61509	146.8986	0.41791815	0.72653806	0.07865281	0.832369	0.5870372	200.0	200.0	500000	90.38569	8.393243	135.02505	34.453144	-91.10691	0.81500876	4078.0572476387024
101	4.3902245	12.805297	66.84069	0.18515734	62.102825	57.78802	196.354	5.254334	200.0	200.0	505000	87.99833	8.420507	142.5958	33.697994	-88.66245	0.7800059	4119.587594032288
102	56.229874	41.483727	130.3156	0.5704704	0.3996103	0.099558406	0.5625759	0.26646447	200.0	200.0	510000	84.271095	9.204248	162.7188	35.63441	-84.876884	0.7681703	4161.794256448746
103	0.3630759	0.20060186	0.88759077	0.15291366	0.18235914	0.05896641	0.30563512	0.10087933	200.0	200.0	515000	83.17852	10.268651	167.54088	36.07234	-84.02625	0.80766565	4201.414579629898
104	22.067778	28.33321	110.180176	0.12784298	6.7944536	0.96744245	8.528011	5.0340257	200.0	200.0	520000	84.59291	11.530143	162.97498	37.33062	-85.29997	0.8096948	4242.737920284271
105	12.387561	16.55926	80.72004	1.1636564	51.816322	35.133102	113.92856	18.09278	200.0	200.0	525000	81.42758	10.448697	151.91382	38.070435	-82.04195	0.70637286	4283.770822525024
106	50.257362	22.743383	91.40289	18.312088	66.32669	40.30675	108.67549	13.75123	200.0	200.0	530000	78.13083	9.887776	142.37482	32.043236	-78.71878	0.6848032	4327.291494607925
107	71.25444	31.948124	139.0161	0.44921103	112.18164	34.349678	187.35738	35.84435	200.0	200.0	535000	75.89144	9.620321	135.80421	31.602207	-76.53162	0.71879256	4370.117437362671
108	63.428364	39.694942	190.5149	5.5263085	71.89549	25.582848	107.72869	20.293795	200.0	200.0	540000	75.54222	9.51428	142.36674	30.231182	-76.215096	0.7578395	4411.814301490784
109	70.6983	27.32065	114.73315	17.121862	55.12087	7.5491447	64.22718	44.95603	200.0	200.0	545000	75.24665	8.824702	147.0144	38.50785	-75.8832	0.7391489	4454.435076475143
110	61.192245	37.171688	138.64449	7.5054626	106.79259	13.675861	137.94957	83.91963	200.0	200.0	550000	75.07959	8.110148	143.6898	41.075073	-75.78072	0.78568774	4495.260299921036
111	16.530289	33.381832	104.64835	0.055440657	1.1357654	0.20117538	1.5817411	0.8414876	200.0	200.0	555000	88.00625	16.370827	149.80568	39.76677	-89.88172	1.4668043	4536.3756313323975
112	0.74739194	0.66677123	2.7839804	0.18578358	1.9031293	0.33690816	2.5252998	1.4152752	200.0	200.0	560000	107.52245	17.8655	153.26244	39.071033	-108.776276	1.4676229	4574.83190202713
113	4.5387783	7.4766154	30.61813	0.41346648	0.92293674	0.3197801	1.457026	0.46650752	200.0	200.0	565000	106.083374	14.1257105	160.56255	35.21305	-106.828026	1.0214022	4614.540269613266
114	5.666713	7.0715036	30.00714	0.35509804	25.88441	17.220446	49.944885	2.275201	200.0	200.0	570000	100.21828	10.688436	159.09023	37.690407	-100.917	0.87732136	4655.951425075531
115	32.626553	27.96877	121.73596	3.5296404	29.470112	25.713604	81.568	7.6430564	200.0	200.0	575000	94.74821	9.027304	148.49132	42.02393	-95.39341	0.70953417	4701.281802415848
116	62.175194	51.49967	198.6464	2.6413379	0.49522573	0.09169377	0.623596	0.33657277	200.0	200.0	580000	90.71893	8.153125	149.39424	43.031	-91.46436	0.76306593	4747.284295082092
117	0.95298266	0.58979005	3.0004652	0.22329693	0.36971122	0.06918182	0.5227234	0.2799387	200.0	200.0	585000	95.54652	9.676803	157.70259	35.67402	-96.68231	0.8464421	4789.250275611877
118	2.138127	2.709904	13.537887	0.24133575	1.413513	0.23354478	1.7377973	1.0508033	200.0	200.0	590000	94.905525	8.307073	149.36472	35.780735	-95.52788	0.72183025	4832.653115987778
119	1.5551361	2.1448944	7.9636154	0.115342006	0.3655805	0.07851382	0.5177813	0.2749172	200.0	200.0	595000	91.490974	7.700099	142.98459	44.6193	-92.4061	0.78337455	4874.67015171051
120	12.345159	29.950089	130.23933	0.1887571	12.71729	2.5687912	16.576971	8.542529	200.0	200.0	600000	95.23029	12.031177	134.21902	42.33623	-96.10037	1.0106359	4916.1753170490265
121	17.393274	14.500171	51.730354	1.780668	4.336955	1.076923	6.2691464	2.8178923	200.0	200.0	605000	92.62204	12.944789	127.66004	47.15627	-93.38099	0.8536791	4955.651553630829
122	61.726772	37.464878	118.693115	2.4928465	38.445427	8.726866	54.777073	25.602703	200.0	200.0	610000	89.11249	11.996956	109.95361	43.765392	-89.7793	0.7431908	5000.33779668808
123	73.889626	40.6839	181.37871	7.8520074	160.54016	39.808544	203.79123	76.32529	200.0	200.0	615000	84.71844	11.239233	105.68587	40.982784	-85.31662	0.69307166	5048.874055862427
