Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
72	0.054469425	0.0002558071	0.054941457	0.054218564	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	360000	0.010086865	0.0209125	0.3400535	0.0042821676	0.010086968	0.020911535	0.34686118	0.0025311152	-0.009977859	3.2819316e-06	1508.8321833610535
73	0.05462283	0.00032424697	0.055016972	0.054156907	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	365000	0.007934683	0.01278359	0.26622942	-0.025336454	0.007934657	0.012791221	0.2595241	-0.020412765	-0.007877698	1.6547449e-06	1531.0509722232819
74	0.05451683	0.00022994711	0.05473956	0.054168914	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	370000	0.0064168815	0.0060517197	0.16437458	-0.020296196	0.0064168344	0.006063166	0.16325332	-0.015068952	-0.00654027	7.765019e-07	1553.4452793598175
75	0.054478705	0.00034098266	0.0549603	0.05394399	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	375000	0.007287381	0.007950635	0.12348679	0.0024169474	0.007287348	0.007957453	0.12163404	0.0025584677	-0.007663707	7.200733e-07	1575.836268901825
76	0.05457122	0.00020556225	0.054788966	0.054272536	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	380000	0.008232419	0.010692413	0.10576739	-0.015127566	0.008232373	0.010694184	0.10425725	-0.0129511645	-0.008550621	4.5598102e-07	1598.3082959651947
77	0.054587673	0.00015300197	0.054797396	0.054401435	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	385000	0.007798052	0.0112154195	0.110694036	-0.02375998	0.007798105	0.011215338	0.11224724	-0.019040633	-0.008022672	5.3070283e-07	1620.7357511520386
78	0.054561485	0.0002266391	0.054949965	0.054276317	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	390000	0.0072084297	0.010878592	0.13422033	-0.009381799	0.0072084493	0.010878466	0.13451609	-0.007436467	-0.007310547	5.466882e-07	1643.578610420227
79	0.054620665	0.0004793844	0.05522756	0.053853057	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	395000	0.00618464	0.009108901	0.14086814	-0.0062186643	0.0061846343	0.009108785	0.14616044	-0.004618068	-0.0061930623	6.803587e-07	1666.0850789546967
80	0.0543383	0.00023786393	0.054649435	0.054018028	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	400000	0.0055582128	0.006402674	0.13493758	-0.0031221174	0.0055582323	0.0064047403	0.13969117	-0.0023869136	-0.005560051	7.2540143e-07	1688.4982318878174
81	0.05464531	0.0002758932	0.055094656	0.054294582	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	405000	0.0058441665	0.0048633763	0.14293985	-0.00033926452	0.0058441455	0.004868669	0.1385044	0.00052653207	-0.0058318	7.256678e-07	1711.0450382232666
82	0.05423825	0.00021918234	0.054588057	0.053982157	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	410000	0.006518254	0.0030780293	0.12388812	0.0019378108	0.006518258	0.003081475	0.12270731	0.0022875909	-0.006493138	6.5243796e-07	1733.638457775116
83	0.054600336	0.00020613411	0.054846924	0.054253466	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	415000	0.0070299115	0.0024273202	0.083949246	0.0013345368	0.007029918	0.0024375194	0.082807526	0.0062312135	-0.006966005	4.0807956e-07	1756.2680070400238
84	0.054407258	0.00018826622	0.054563116	0.054042194	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	420000	0.0075171776	0.004320953	0.10359091	0.005462306	0.0075171385	0.004322904	0.10679079	0.005566946	-0.007643775	3.2656925e-07	1779.0339527130127
85	0.054374017	0.00018710569	0.054541524	0.054050516	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	425000	0.009226308	0.010256713	0.18189174	0.004760721	0.009226323	0.010261225	0.17828755	-0.019959785	-0.0095073795	9.2811575e-07	1801.7543399333954
86	0.0544569	0.00023676579	0.054754034	0.054137	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	430000	0.008993774	0.011661986	0.12835065	0.0036457588	0.008993768	0.011709889	0.13278814	-0.03551002	-0.009039546	1.7021633e-06	1824.6680028438568
87	0.054302584	0.00043280897	0.054935526	0.05370231	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	435000	0.0077496995	0.011232283	0.13009422	0.0020650728	0.0077497335	0.011248218	0.12798485	-0.018593688	-0.0077158813	1.0464324e-06	1847.3244187831879
88	0.05457788	0.00021411109	0.054891545	0.05426165	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	440000	0.0068517495	0.010011985	0.1156809	-0.008898776	0.006851656	0.010013387	0.11753389	-0.012849625	-0.006822311	5.5344384e-07	1870.0288681983948
89	0.05463618	0.00024065794	0.054887127	0.054204762	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	445000	0.006195574	0.008580842	0.09947177	-0.005343524	0.0061956337	0.008579647	0.094738334	-0.0040855743	-0.0061335107	4.1566614e-07	1893.084008216858
90	0.054567076	0.00025036556	0.054963898	0.054203443	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	450000	0.0058004213	0.007158459	0.07610806	-0.0019085163	0.0058004605	0.0071570226	0.07953308	-0.002537788	-0.0057694716	3.6834248e-07	1916.051724910736
91	0.054742	0.00019657357	0.05497923	0.054432277	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	455000	0.005233951	0.005922095	0.079656176	0.0023568142	0.005233798	0.0059138825	0.07573428	0.0019832007	-0.005227257	3.17115e-07	1938.6944162845612
92	0.05438587	0.00025680012	0.054688677	0.053943824	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	460000	0.004544369	0.004236132	0.07245963	0.0023916364	0.0045444635	0.0042287637	0.068251975	0.0031515155	-0.004560449	3.2207248e-07	1961.4169776439667
93	0.054389227	0.00014762204	0.05451349	0.054101873	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	465000	0.0045582363	0.004300421	0.061724123	0.0026952373	0.0045582657	0.0043004327	0.059068847	0.002572579	-0.004717891	2.1668116e-07	1984.4746878147125
94	0.054644816	0.00027273115	0.054951105	0.054152455	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	470000	0.0054482063	0.0071875886	0.08641714	0.0023019053	0.005448182	0.00719044	0.080781326	0.0017495197	-0.0059098466	2.9365043e-07	2007.3189587593079
