# {"t_start": 1545431934.8073049, "env_id": null} 
r,l,t
178.122871,1000,565.546606
239.365323,1000,566.646436
274.728756,1000,567.736923
244.381826,1000,568.833993
166.349093,1000,569.917537
169.365846,1000,570.975504
145.261952,1000,572.090685
201.958485,1000,573.176473
61.391478,1000,574.27742
70.664812,1000,575.354658
182.478278,1000,576.446916
236.59282,1000,577.529481
65.020334,1000,578.635373
261.525126,1000,579.714833
307.993129,1000,580.811244
327.784262,1000,581.932477
340.63019,1000,583.052025
88.911836,1000,584.157219
374.579847,1000,585.237423
119.115066,1000,586.258373
334.956786,1000,587.323359
304.426804,1000,588.42833
382.998011,1000,589.562582
169.265448,1000,590.677943
20.372327,1000,591.785554
15.220436,1000,592.902797
73.777862,1000,594.038983
25.256921,1000,595.170849
174.770949,1000,596.235029
277.199802,1000,597.316862
235.68145,1000,598.426084
59.585281,1000,599.547981
131.858939,1000,600.610902
22.056524,1000,601.694344
20.439078,1000,602.760741
12.59385,1000,603.836646
18.484412,1000,604.905632
145.608761,1000,606.033841
17.047257,1000,607.13277
27.757728,1000,608.214384
35.476985,1000,609.317109
118.446645,1000,610.416029
165.620023,1000,611.497652
195.300815,1000,612.586092
33.95508,1000,613.647126
42.001852,1000,614.709244
224.860329,1000,615.809211
226.946057,1000,616.931911
208.674688,1000,618.022892
209.540257,1000,619.121881
238.67501,1000,620.218714
255.544438,1000,621.296496
39.446289,1000,622.366559
287.520499,1000,623.429581
268.200757,1000,624.527694
251.533427,1000,625.590506
232.293006,1000,626.695329
222.279088,1000,627.812276
163.643911,1000,628.896031
212.84362,1000,629.985051
246.35955,1000,631.080347
69.370145,1000,632.158639
69.085938,1000,633.282375
22.70367,1000,634.358473
37.296665,1000,635.464204
378.903934,1000,636.557446
319.548667,1000,637.657504
273.532,1000,638.724235
22.063648,1000,639.807179
287.672599,1000,640.934962
377.016617,1000,642.049131
374.360466,1000,643.158714
16.999923,1000,644.214396
19.564197,1000,645.295854
276.754908,1000,646.376607
24.081543,1000,647.439021
307.496163,1000,648.544167
190.875502,1000,649.662076
355.815463,1000,650.766667
221.748324,1000,651.849063
377.059182,1000,652.93803
23.729764,1000,654.025671
152.608697,1000,655.11393
40.709907,1000,656.258913
37.088726,1000,657.328633
25.811537,1000,658.409851
40.005925,1000,659.497387
194.977942,1000,660.599281
270.120272,1000,661.688778
37.398141,1000,662.755884
24.623421,1000,663.855255
155.120464,1000,664.947746
290.39737,1000,666.024322
44.824203,1000,667.084048
15.962704,1000,668.15212
23.312291,1000,669.241198
149.982233,1000,670.349053
75.959366,1000,671.472238
36.298708,1000,672.550161
446.087964,1000,673.666414
364.700439,1000,674.796358
21.063344,1000,675.894067
420.751297,1000,676.98803
332.199915,1000,678.084968
110.568586,1000,679.171115
380.227555,1000,680.279616
131.780409,1000,681.378521
358.44606,1000,682.435485
156.758148,1000,683.49586
300.776958,1000,684.592991
272.579725,1000,685.66778
323.960455,1000,686.745463
315.567168,1000,687.844127
326.057327,1000,688.954636
365.717784,1000,690.072893
315.284311,1000,691.170959
360.333098,1000,692.273513
435.540306,1000,693.389776
364.526698,1000,694.496648
17.928085,1000,695.59685
19.939069,1000,696.67117
30.694158,1000,697.736422
64.674881,1000,698.834254
39.9568,1000,699.866698
129.260993,1000,700.950171
73.505874,1000,702.04056
22.743669,1000,703.16733
11.512202,1000,704.249611
204.995545,1000,705.360698
271.573593,1000,706.468848
11.973121,1000,707.606911
60.134285,1000,708.65159
19.147508,1000,709.729466
55.832262,1000,710.796968
16.292523,1000,711.887245
195.100909,1000,712.986108
26.93324,1000,714.063024
15.726942,1000,715.162407
13.710163,1000,716.286332
25.586341,1000,717.382262
12.355538,1000,718.479996
17.281081,1000,719.568982
14.533185,1000,720.639452
12.717379,1000,721.706727
10.386764,1000,722.795355
72.95841,1000,723.870705
13.782762,1000,724.973636
42.797432,1000,726.057272
62.149399,1000,727.168449
