# {"t_start": 1545445904.3468816, "env_id": null} 
r,l,t
165.283666,1000,919.452048
105.176805,1000,920.548022
72.119566,1000,921.660721
95.171654,1000,922.797189
248.140889,1000,923.952061
407.289615,1000,925.140082
439.237883,1000,926.310091
435.949929,1000,927.490758
326.027354,1000,928.670056
366.429825,1000,929.827911
30.905921,1000,930.968945
343.220829,1000,932.144567
23.636899,1000,933.251144
136.097877,1000,934.376388
82.660719,1000,935.446435
27.991193,1000,936.561311
129.042635,1000,937.754155
328.284599,1000,938.931125
263.990563,1000,940.112441
33.525906,1000,941.255522
252.050704,1000,942.393192
188.312368,1000,943.57601
11.806194,1000,944.665251
291.227408,1000,945.792727
39.364247,1000,946.942942
91.926275,1000,948.080755
32.026252,1000,949.21813
128.541261,1000,950.390897
38.390779,1000,951.510437
114.641253,1000,952.628156
240.213813,1000,953.746466
35.148776,1000,954.844635
52.046299,1000,955.949959
12.854782,1000,957.030457
15.071914,1000,958.080643
134.460471,1000,959.156515
232.206362,1000,960.254811
38.044803,1000,961.396554
73.490207,1000,962.541837
292.366142,1000,963.699932
57.988247,1000,964.844603
189.664561,1000,965.968641
17.200209,1000,967.107497
94.21595,1000,968.169417
61.522245,1000,969.222583
14.021063,1000,970.245319
101.041709,1000,971.297935
123.952089,1000,972.373236
33.363504,1000,973.445663
92.98676,1000,974.477618
151.795261,1000,975.557718
13.938476,1000,976.672031
396.714623,1000,977.829033
96.775213,1000,978.973258
16.387062,1000,980.124296
39.844741,1000,981.194104
61.32486,1000,982.306808
107.375484,1000,983.417453
284.428513,1000,984.535288
13.777139,1000,985.63813
216.148911,1000,986.791781
19.817271,1000,987.875142
90.832013,1000,988.981014
50.699181,1000,990.055924
207.124196,1000,991.200197
16.462521,1000,992.295067
28.284953,1000,993.382388
269.112372,1000,994.505693
71.106408,1000,995.607537
12.291194,1000,996.739064
84.242291,1000,997.863953
23.523767,1000,998.975582
18.69437,1000,1000.024366
25.800368,1000,1001.116066
325.633868,1000,1002.311455
152.613197,1000,1003.423744
71.089495,1000,1004.507092
40.588418,1000,1005.582371
114.113847,1000,1006.707193
79.852175,1000,1007.842203
38.772001,1000,1008.989297
299.633315,1000,1010.139924
100.579846,1000,1011.237302
33.359116,1000,1012.279871
60.888577,1000,1013.419396
152.072323,1000,1014.562721
45.657791,1000,1015.687655
122.332471,1000,1016.842244
132.639924,1000,1018.012444
31.316286,1000,1019.130223
226.845959,1000,1020.320917
39.496522,1000,1021.492217
369.617787,1000,1022.625238
40.381008,1000,1023.698622
81.705569,1000,1024.833612
126.549814,1000,1025.952962
28.677986,1000,1027.063609
162.506303,1000,1028.202124
34.037189,1000,1029.316062
24.479242,1000,1030.427931
45.322214,1000,1031.53094
74.678893,1000,1032.635488
325.053456,1000,1033.754264
96.293865,1000,1034.907891
47.063586,1000,1035.997377
331.991901,1000,1037.157472
220.757195,1000,1038.322632
396.823133,1000,1039.483922
73.908202,1000,1040.625753
267.234215,1000,1041.803316
14.874397,1000,1042.878327
82.384404,1000,1043.917854
432.597678,1000,1045.044235
170.888006,1000,1046.209835
269.660078,1000,1047.355076
439.478695,1000,1048.561063
63.292602,1000,1049.689924
42.915408,1000,1050.819941
249.700597,1000,1051.967316
49.78166,1000,1053.10176
281.968569,1000,1054.237323
54.240872,1000,1055.327929
47.621144,1000,1056.465382
407.521324,1000,1057.640221
35.49194,1000,1058.783919
55.789425,1000,1059.94777
45.400979,1000,1061.023141
161.591389,1000,1062.118259
97.413154,1000,1063.20777
14.226562,1000,1064.282594
61.994199,1000,1065.404239
43.654128,1000,1066.528085
69.328517,1000,1067.623309
148.035911,1000,1068.762245
74.186332,1000,1069.879043
36.523014,1000,1070.960727
52.785763,1000,1072.047259
43.153487,1000,1073.168362
172.116506,1000,1074.286588
43.141111,1000,1075.382475
79.040957,1000,1076.477622
46.514234,1000,1077.526076
16.27032,1000,1078.689758
70.220117,1000,1079.83047
142.08517,1000,1080.900654
324.20868,1000,1082.04825
52.482914,1000,1083.114181
127.584262,1000,1084.203626
