Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
55	171.36293	33.601547	208.47641	79.36122	199.40512	2.9891665	203.64471	195.0646	200.0	200.0	275000	68.75852	13.0970545	85.83328	4.8196163	68.75854	13.097302	85.68385	3.7043567	-69.695816	1.4121842	2297.7812008857727
56	164.96764	38.272606	202.27823	68.26076	198.26515	2.7046337	203.338	192.86044	200.0	200.0	280000	69.47544	13.261795	86.51467	2.0553365	69.47541	13.262096	86.430855	1.1021266	-70.32502	1.4621965	2344.7197155952454
57	163.96071	46.10627	201.4311	24.664104	185.50671	47.545418	205.16685	43.167976	200.0	200.0	285000	70.035995	13.406667	87.266495	2.5526252	70.03604	13.406842	87.08109	2.787404	-70.85004	1.4904536	2392.4296016693115
58	154.80614	49.86185	204.84122	37.19362	198.36136	3.1589918	204.4269	194.01866	200.0	200.0	290000	70.36743	13.380843	87.533714	3.5182204	70.36742	13.381188	87.51919	3.019407	-71.20655	1.5570508	2438.9055898189545
59	184.51773	27.221613	203.02673	83.54255	199.84912	3.7300394	206.24698	192.0031	200.0	200.0	295000	70.764366	13.235628	87.995804	4.6928964	70.76439	13.236136	87.78736	4.034415	-71.6357	1.5912995	2487.7730515003204
60	174.34766	31.667858	208.29465	81.15533	196.8862	2.9997416	202.29959	192.52208	200.0	200.0	300000	71.21887	12.917766	87.760185	5.9592247	71.218895	12.918109	87.77344	5.4639935	-72.0516	1.4122584	2535.6974017620087
61	178.38667	47.664062	205.7142	25.94769	190.89133	20.67332	206.46326	130.50851	200.0	200.0	305000	71.56068	12.758166	88.0087	5.6646833	71.5607	12.758398	88.213165	6.171824	-72.34639	1.3798125	2585.0403430461884
62	178.748	41.285625	202.87231	59.837433	200.71416	1.7009189	203.64206	196.4459	200.0	200.0	310000	71.39235	13.087253	88.30463	5.184655	71.39239	13.087593	88.086365	5.3998547	-72.16443	1.4640688	2634.1317570209503
63	186.95354	22.784487	206.57596	115.985916	202.2342	1.4256876	205.05731	200.02216	200.0	200.0	315000	71.211044	13.78779	88.735466	4.8087573	71.21101	13.788624	88.82604	5.2795978	-71.99477	1.6270441	2683.300730228424
64	186.98592	17.647533	203.64992	122.16013	196.63815	2.5043178	202.1243	192.37186	200.0	200.0	320000	71.16614	14.500754	89.1042	5.852088	71.16616	14.501111	89.080666	5.42598	-72.00562	1.7096785	2732.5603773593903
65	174.44098	46.486427	201.01283	30.747627	201.61809	2.1014633	206.3737	198.09209	200.0	200.0	325000	71.429306	14.899392	89.55702	8.120378	71.42924	14.900762	89.605484	8.095984	-72.300224	1.9446149	2781.2308859825134
66	189.57108	25.541351	204.62338	69.57012	200.40051	2.5782185	205.97275	195.17569	200.0	200.0	330000	71.870094	14.821429	89.61996	9.134395	71.870094	14.821738	89.90112	9.547221	-72.75119	1.8470324	2831.2157876491547
67	190.27554	12.698375	203.43124	150.74492	198.47304	5.3224773	204.29643	187.33774	200.0	200.0	335000	72.41171	14.559998	89.53412	8.180561	72.41172	14.560691	89.646675	8.107659	-73.23777	1.832287	2880.705878019333
68	183.6783	26.543123	204.08043	107.98145	195.15329	2.4780805	200.41339	191.93748	200.0	200.0	340000	72.90333	14.443108	90.14656	8.717748	72.90322	14.444327	90.00894	8.141656	-73.734184	1.8351492	2928.8866164684296
69	184.89267	23.267233	204.24358	102.912766	201.62552	2.6848953	207.32297	196.05441	200.0	200.0	345000	72.96616	14.521736	90.53122	9.604097	72.966225	14.522777	90.36026	8.955862	-73.78141	1.8832028	2978.128177165985
